,Country,Year,% using internet
1,Micronesia,2005,11.9
7,Afghanistan,2005,1.2
13,Albania,2005,6.0
20,Algeria,2005,5.8
27,Andorra,2005,37.6
34,Angola,2005,1.1
41,Anguilla,2005,29.0
45,Antigua and Barbuda,2005,27.0
52,Argentina,2005,17.7
59,Armenia,2005,5.3
66,Aruba,2005,25.4
70,Australia,2005,63.0
77,Austria,2005,58.0
84,Azerbaijan,2005,8.0
91,Bahamas,2005,25.0
98,Bahrain,2005,21.3
105,Bangladesh,2005,0.2
112,Barbados,2005,52.5
125,Belgium,2005,55.8
132,Belize,2005,17.0
139,Benin,2005,1.3
146,Bermuda,2005,65.4
150,Bhutan,2005,3.8
157,Bolivia,2005,5.2
164,Bosnia and Herzegovina,2005,21.3
171,Botswana,2005,3.3
178,Brazil,2005,21.0
186,Brunei,2005,36.5
193,Bulgaria,2005,20.0
200,Burkina Faso,2005,0.5
207,Burundi,2005,0.5
214,Cabo Verde,2005,6.1
221,Cambodia,2005,0.3
228,Cameroon,2005,1.4
235,Canada,2005,71.7
241,Cayman Islands,2005,38.0
245,Central African Republic,2005,0.3
252,Chad,2005,0.4
259,Chile,2005,31.2
266,China,2005,8.5
273,"China, Hong Kong SAR",2005,56.9
280,"China, Macao SAR",2005,34.9
287,Colombia,2005,11.0
294,Comoros,2005,2.0
301,Congo,2005,1.5
305,Cook Islands,2005,26.2
309,Costa Rica,2005,22.1
316,Côte d’Ivoire,2005,1.0
323,Croatia,2005,33.1
330,Cuba,2005,9.7
337,Cyprus,2005,32.8
344,Czech Republic,2005,35.3
351,North Korea,2005,0.0
354,Democratic Republic of the Congo,2005,0.2
361,Denmark,2005,82.7
368,Djibouti,2005,1.0
375,Dominica,2005,38.5
382,Dominican Republic,2005,11.5
389,Ecuador,2005,6.0
396,Egypt,2005,12.8
403,El Salvador,2005,4.2
410,Equatorial Guinea,2005,1.1
423,Estonia,2005,61.5
430,Swaziland,2005,3.7
437,Ethiopia,2005,0.2
444,Falkland Islands (Malvinas),2005,84.0
448,Faroe Islands,2005,67.9
452,Fiji,2005,8.5
459,Finland,2005,74.5
466,France,2005,42.9
473,French Guiana,2005,20.8
475,French Polynesia,2005,21.5
479,Gabon,2005,4.9
486,Gambia,2005,3.8
493,Georgia,2005,6.1
500,Germany,2005,68.7
507,Ghana,2005,1.8
514,Gibraltar,2005,39.1
517,Greece,2005,24.0
524,Greenland,2005,57.7
528,Grenada,2005,20.5
535,Guadeloupe,2005,18.7
537,Guam,2005,38.6
541,Guatemala,2005,5.7
548,Guernsey,2005,73.6
550,Guinea,2005,0.5
557,Guinea-Bissau,2005,1.9
564,Guyana,2005,5.7
571,Haiti,2005,6.4
578,Honduras,2005,6.5
585,Hungary,2005,39.0
592,Iceland,2005,87.0
599,India,2005,2.4
606,Indonesia,2005,3.6
613,Iran,2005,8.1
619,Iraq,2005,0.9
626,Ireland,2005,41.6
633,Israel,2005,25.2
640,Italy,2005,35.0
647,Jamaica,2005,12.8
654,Japan,2005,66.9
661,Jersey,2005,31.3
663,Jordan,2005,12.9
670,Kazakhstan,2005,3.0
677,Kenya,2005,3.1
684,Kiribati,2005,4.0
691,Kuwait,2005,25.9
698,Kyrgyzstan,2005,10.5
705,Laos,2005,0.9
712,Latvia,2005,46.0
719,Lebanon,2005,10.1
726,Lesotho,2005,2.6
739,Libya,2005,3.9
742,Liechtenstein,2005,63.4
749,Lithuania,2005,36.2
756,Luxembourg,2005,70.0
763,Madagascar,2005,0.6
770,Malawi,2005,0.4
777,Malaysia,2005,48.6
784,Maldives,2005,6.9
791,Mali,2005,0.5
798,Malta,2005,41.2
805,Marshall Islands,2005,3.9
809,Martinique,2005,32.7
811,Mauritania,2005,0.7
818,Mauritius,2005,15.2
826,Mexico,2005,17.2
833,Monaco,2005,55.5
845,Montenegro,2005,27.1
853,Morocco,2005,15.1
860,Mozambique,2005,0.9
866,Myanmar,2005,0.1
873,Namibia,2005,4.0
883,Nepal,2005,0.8
890,Netherlands,2005,81.0
897,New Caledonia,2005,32.4
901,New Zealand,2005,62.7
908,Nicaragua,2005,2.6
915,Niger,2005,0.2
922,Nigeria,2005,3.5
929,Niue,2005,51.7
932,Macedonia,2005,26.5
939,Norway,2005,82.0
946,Oman,2005,6.7
953,Other non-specified areas,2005,58.0
959,Pakistan,2005,6.3
966,Panama,2005,11.5
973,Papua New Guinea,2005,1.7
980,Paraguay,2005,7.9
987,Peru,2005,17.1
994,Philippines,2005,5.4
1001,Poland,2005,38.8
1008,Portugal,2005,35.0
1015,Puerto Rico,2005,23.4
1020,Qatar,2005,24.7
1027,South Korea,2005,73.5
1034,Moldova,2005,14.6
1041,Réunion,2005,28.1
1043,Romania,2005,21.5
1050,Russia,2005,15.2
1057,Rwanda,2005,0.6
1064,Saint Helena,2005,15.9
1067,Saint Kitts and Nevis,2005,34.0
1074,Saint Lucia,2005,21.6
1081,Saint Vincent & Grenadines,2005,9.2
1088,Samoa,2005,3.4
1095,San Marino,2005,50.3
1100,Sao Tome and Principe,2005,13.8
1107,Saudi Arabia,2005,12.7
1114,Senegal,2005,4.8
1120,Republic of Serbia,2005,26.3
1127,Seychelles,2005,25.4
1134,Sierra Leone,2005,0.2
1140,Singapore,2005,61.0
1147,Slovakia,2005,55.2
1154,Slovenia,2005,46.8
1161,Solomon Islands,2005,0.8
1168,Somalia,2005,1.1
1171,South Africa,2005,7.5
1181,Spain,2005,47.9
1188,Sri Lanka,2005,1.8
1194,State of Palestine,2005,16.0
1199,Sudan,2005,1.3
1203,Suriname,2005,6.4
1210,Sweden,2005,84.8
1217,Switzerland,2005,70.1
1224,Syrian Arab Republic,2005,5.6
1230,Tajikistan,2005,0.3
1234,Thailand,2005,15.0
1240,East Timor,2005,0.1
1247,Togo,2005,1.8
1254,Tonga,2005,4.9
1261,Trinidad and Tobago,2005,29.0
1268,Tunisia,2005,9.7
1275,Türkiye,2005,15.5
1282,Turkmenistan,2005,1.0
1286,Tuvalu,2005,8.3
1291,Uganda,2005,1.7
1298,Ukraine,2005,3.7
1305,United Arab Emirates,2005,40.0
1312,England,2005,70.0
1319,United Republic of Tanzania,2005,1.1
1326,USA,2005,68.0
1333,United States Virgin Islands,2005,27.3
1337,Uruguay,2005,20.1
1344,Uzbekistan,2005,3.3
1351,Vanuatu,2005,5.1
1358,Venezuela,2005,12.6
1362,Vietnam,2005,12.7
1369,Wallis and Futuna Islands,2005,6.7
1372,Yemen,2005,1.0
1376,Zambia,2005,1.3
1383,Zimbabwe,2005,2.4
